"","caseid"
"1225","       68 13  8"
"1226","       68 20  3"
"1227","       68 20  7"
"1228","       68 27  2"
"1229","       68 27  6"
"1230","       68 27  7"
"1231","       68 64  1"
"1232","       68 71  2"
"1233","       71 10  2"
"1234","       71 17  2"
"1235","       71 32  1"
"1236","       71 32  2"
"1237","       71 53  2"
"1238","       71 53  3"
"1239","       71 61  2"
"1240","       71 68  3"
"1241","       71 75  1"
"1242","       71 75  2"
"1243","       71 82  2"
"1244","       71 82  7"
"1245","       71 89  3"
"1246","       71104  3"
"1247","       71104  6"
"1248","       72  4  2"
"1249","       72 40  3"
"1250","       73 20  1"
"1251","       73 20  2"
"1252","       73 20  4"
"1253","       73 40  2"
"1254","       73 47  2"
"1255","       73 54  2"
"1256","       73 61  2"
"1257","       73 68  4"
"1258","       73 81  2"
