variable,label
nt_mdd__Yes,"Child with minimum dietary diversity, 5 out of 8 food groups- last-born 6-23 months (Yes)"
nt_mmf__Yes,Child with minimum meal frequency- last-born 6-23 months (Yes)
nt_mad__Yes,Child with minimum acceptable diet- last-born 6-23 months (Yes)
nt_ch_micro_vaf__Yes,Youngest children age 6-23 mos living with mother given Vit A rich food (Yes)
nt_ch_micro_irf__Yes,Youngest children age 6-23 mos living with mother given iron rich food (Yes)
ms_afm_15__Yes,First marriage by age 15 (Yes)
ms_afm_18__Yes,First marriage by age 18 (Yes)
ms_afm_20__Yes,First marriage by age 20 (Yes)
ms_afm_22__Yes,First marriage by age 22 (Yes)
ms_afm_25__Yes,First marriage by age 25 (Yes)
ms_sex_never__Yes,Never had sex (Yes)
ms_afs_15__Yes,First sex by age 15 (Yes)
ms_afs_18__Yes,First sex by age 18 (Yes)
ms_afs_20__Yes,First sex by age 20 (Yes)
ms_afs_22__Yes,First sex by age 22 (Yes)
ms_afs_25__Yes,First sex by age 25 (Yes)
dm_cooking_fuel_traditional__Yes,using traditional cooking fuel (Yes)
dm_decide_health_self__Yes,Decides on own health care either alone or jointly with partner (Yes)
dm_decide_hhpurch_self__Yes,Decides on large household purchases either alone or jointly with partner (Yes)
dm_decide_visits_self__Yes,Decides on visits to family or relatives either alone or jointly with partner (Yes)
dm_decide_all__Yes,"Decides on all three: health, purchases, and visits  either alone or jointly with partner (Yes)"
dm_decide_none__Yes,Does not decide on any of the three decisions either alone or jointly with partner (Yes)
dm_dvjustify_burn__Yes,Agree that husband is justified in hitting or beating his wife if she burns food (Yes)
dm_dvjustify_argue__Yes,Agree that husband is justified in hitting or beating his wife if she argues with him (Yes)
dm_dvjustify_goout__Yes,Agree that husband is justified in hitting or beating his wife if she goes out without telling him (Yes)
dm_dvjustify_neglect__Yes,Agree that husband is justified in hitting or beating his wife if she neglects the children (Yes)
dm_dvjustify_refusesex__Yes,Agree that husband is justified in hitting or beating his wife if she refuses to have sexual intercourse with him (Yes)
dm_dvjustify_onereas__Yes,Agree that husband is justified in hitting or beating his wife for at least one of the reasons (Yes)
dm_justify_refusesex__Yes,Believe a woman is justified to refuse sex with her husband if she knows he's having sex with other women (Yes)
dm_justify_cond__Yes,Believe a women is justified in asking that her husband to use a condom if she knows that he has an STI (Yes)
dm_havesay_refusesex__Yes,Can say no to their husband if they do not want to have sexual intercourse (Yes)
dm_havesay_condom__Yes,Can ask their husband to use a condom (Yes)
dm_rural__Yes,living in rural area (Yes)
dm_town__Yes,living in small town (Yes)
dm_city__Yes,living in medium city (Yes)
dm_capital__Yes,living in capital city (Yes)
dm_refrigerator__Yes,owns refrigerator (Yes)
dm_female_headed__Yes,female headed household (Yes)
ph_electric__Yes,Have electricity (Yes)
ph_cook_solid__Yes,Using solid fuel for cooking (Yes)
ph_cook_clean__Yes,Using clean fuel for cooking (Yes)
ph_radio__Yes,Owns a radio (Yes)
ph_tv__Yes,Owns a TV (Yes)
ph_mobile__Yes,Owns a mobile phone (Yes)
ph_tel__Yes,Owns a non-mobile telephone (Yes)
ph_frig__Yes,Owns a refrigerator (Yes)
ph_bike__Yes,Owns a bicycle (Yes)
ph_cart__Yes,Owns an animal drawn cart (Yes)
ph_moto__Yes,Owns a motorcycle/scooter (Yes)
ph_car__Yes,Owns a car or truck (Yes)
ph_boat__Yes,Owns a boat with a motor (Yes)
ph_agriland__Yes,Owns agricultural land (Yes)
ph_animals__Yes,Owns livestock or farm animals (Yes)
